Raag Name,URL,Time,Aaroh,Avroh,S,r,R,g,G,m,M,P,d,D,n,N,Source_File,Swar,Jati,Thaat,Vadi - Samvadi,Vishranti Sthan,Mukhya Ang,Magnitude,Final_X,Final_Y,Final_Z
Bhairav,https://raagtime.com/ragas/bhairav,06-09,S - r - G - m - P - d - N - S',S' - N - d - P - m - G - r - S,True,True,False,False,True,True,False,True,True,False,False,True,MASTER_COMBINED_RAW.csv,,,,,,,7,0.0,5.0,2.0
"Bhairav, Ahir",https://raagtime.com/ragas/bhairav-ahir,06-09,S - r - G - m - P - D - n - S',S' - n - D - P - m - G - r - S,True,True,False,False,True,True,False,True,False,True,True,False,MASTER_COMBINED_RAW.csv,,,,,,,7,0.0,5.0,2.0
"Bhairav, Anand",https://raagtime.com/ragas/bhairav-anand,06-09,"S - r - G - m - P - m, P - S'",S' - D - n - P - m - G - m - r - S,True,True,False,False,True,True,False,True,False,True,True,False,MASTER_COMBINED_RAW.csv,,,,,,,7,0.0,5.0,2.0
"Bhairav, Bairagi",https://raagtime.com/ragas/bhairav-bairagi,06-09,S - r - m - P - n - S,S - n - P - m - r - S,True,True,False,False,False,True,False,True,False,False,True,False,MASTER_COMBINED_RAW.csv,,,,,,,5,0.0,3.0,2.0
"Bhairav, Bangal",https://raagtime.com/ragas/bhairav-bangal,06-09,"S - r, G - m - P - d, S'","S' - d - P - m - P - G - m, r - S",True,True,False,False,True,True,False,True,True,False,False,False,MASTER_COMBINED_RAW.csv,,,,,,,6,0.0,4.0,2.0
"Bhairav, Hijaj",https://raagtime.com/ragas/bhairav-hijaj,06-09,S - R - G - m - P - d - n - S',S' - n - d - P - m - G - m - P - r - S',True,True,True,False,True,True,False,True,True,False,True,False,MASTER_COMBINED_RAW.csv,,,,,,,8,0.0,5.0,3.0
Bhairavi,https://raagtime.com/ragas/bhairavi,06-09,S - r - g - m - P - d - n - S',S' - n - d - P - m - g - r - S,True,True,False,True,False,True,False,True,True,False,True,False,MASTER_COMBINED_RAW.csv,,,,,,,7,0.0,3.0,4.0
"Bhairavi, Adi",https://raagtime.com/ragas/bhairavi-adi,09-12,S - g - R - g - m - P - d - S',S' - d - P - m - P - g - R - S,True,False,True,True,False,True,False,True,True,False,False,False,MASTER_COMBINED_RAW.csv,,,,,,,6,0.0,4.0,2.0
"Bhairav, Kabir",https://raagtime.com/ragas/bhairav-kabir,06-09,"S - r - G - m, P - d - N - S'","S', r' - n - d - P - m - G - m - (r)G, m - r - S",True,True,False,False,True,True,False,True,True,False,True,True,MASTER_COMBINED_RAW.csv,,,,,,,8,0.0,5.0,3.0
"Bhairav, Kaushi",https://raagtime.com/ragas/bhairav-kaushi,06-09,S - m - G - m - P - m - m - (N)d - (N)d - S',S' - R' - n - D - P - m - (G)m - G - m - P - r - S - (r)'d - (S)'n - S - m,True,True,True,False,True,True,False,True,True,True,True,True,MASTER_COMBINED_RAW.csv,,,,,,,10,0.0,7.0,3.0
