Raag Name,URL,Time,Aaroh,Avroh,Swar,Jati,Thaat,Vadi - Samvadi,Vishranti Sthan,Mukhya Ang,S,r,R,g,G,m,M,P,d,D,n,N,Source_File,Magnitude,Final_X,Final_Y,Final_Z
Lanka Dahan Sarang,https://tanarang.com/wordpress/raag-lanka-dahan-sarang/,2nd Prahar of the Day (9AM to 12PM),"S R m P N S'; - S' n D P ; m P D P ; g R g R S ,N S;",,Gandhar and Dhaivat Varjya in Aaroh. Gandhar Komal in Avroh. Both Nishads. Rest all Shuddha Swars.,Audhav - Sampurna Vakra,Kafi,Shadj - Madhyam,R; P; S' - S'; P; R;,"m P S' ; n P ; m P ; R g R S ; ,n ,P ,m ,P ,N S;",True,False,True,True,False,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,8,0.0,6.0,2.0
Madhukauns,https://tanarang.com/wordpress/raag-madhukauns/,2nd Prahar of the Night (9PM to 12AM),S g M P n S' - S' n P M g S,,Rishabh and Dhaivat Varjya. Gandhar and Nishad Komal. Madhyam Teevra.,Audhav - Audhav,Kafi,Pancham - Shadj,M P S' - P M S;,S g M ; P M g M P ; M P n S' ; S' n P M ; g M g S;,True,False,False,True,False,False,True,True,False,False,True,False,tanarang_Raw_Data.csv,5,0.8568,2.5537,1.9843
Madhumad Sarang,https://tanarang.com/wordpress/raag-madhumad-sarang/,3rd Prahar of the Day (12PM to 3PM),",n S; R m P n S'; - S' n P m R S ;",,"Gandhar and Dhaivat Varjya, Nishad Komal. Rest all Shuddha Swaras.",Audhav - Audhav,Kafi,Rishabh - Pancham,S; P; - S'; P;,",n S R ; m R ; P m R ; n P m R ; P m R S ;",True,False,True,False,False,True,False,True,False,False,True,False,tanarang_Raw_Data.csv,5,0.0209,4.0985,1.0381
Madhuvanti,https://tanarang.com/wordpress/raag-madhuvanti/,4th Prahar of the Day (3PM to 6PM),",N S g M P N S'; - S' N D P M g M g R S ,N S;",,"Rishabh and Dhaivat Varjya in Aaroh. Gandhar Komal, Madhyam Teevra. Rest all Shuddha Swaras.",Audhav - Sampurna,Todi,Pancham - Shadj,S; g; P; N; - S'; N; P; R;,",N S M g M P; M g S R S;",True,False,True,True,False,False,True,True,False,True,False,True,tanarang_Raw_Data.csv,7,0.8553,4.8992,1.2041
Malgunji,https://tanarang.com/wordpress/raag-malgunji/,3rd Prahar of the Night (12AM to 3AM),S R G m D n S'; - S' n D P m G R G m g R S ;,,"Pancham Varjya in Aaroh. Both Nishads, Both Gandhars. Rest all Shuddha Swaras.",Shadhav - Sampurna Vakra,Kafi,Madhyam - Shadj,S; m; - m; S;,"G m g R S ; ,n S ; ,D ,n S R G m ;",True,False,True,True,True,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,8,0.0216,5.5375,1.91
Malhar,https://tanarang.com/wordpress/raag-malhar-raag-miya-malhar/,2nd Prahar of the Night (9PM to 12AM) or Anytime in Rainy Season.,",N S; m R P ; g m R S; m R P n D N S'; - S' n D n P; m P g g m R S;",,"Dhaivat Varjya in Avroh. Gandhar Komal, Both Nishads. Rest all Shuddha Swaras.",Sampurna - Shadhav Vakra,Kafi,Pancham - Shadj,S R P N - S' P R;,"S R; R P; g g m R S; ,n D ,N ,N S;",True,False,True,True,False,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,8,0.074,5.6774,1.9809
Malkauns,https://tanarang.com/wordpress/raag-malkauns/,3rd Prahar of the Night (12AM to 3AM),S g m d n S'; - S' n d m g S;,,"Rishabh and Pancham Varjya. Gandhar, Dhaivat and Nishad Komal. Rest all Shuddha Swaras.",Audhav - Audhav,Bhairavi,Madhyam - Shadj,S g m - m g S;,",d ,n S g m; g m n d m; d n S'; g’ S’ n d;",True,False,False,True,False,True,False,False,True,False,True,False,tanarang_Raw_Data.csv,5,0.0217,2.8585,2.5762
Mand,https://tanarang.com/wordpress/raag-mand/,2nd Prahar of the Night (9PM to 12AM),S R G m P D N P D S'; - S' N D P m G R G S;,,All Shuddha Swaras.,Sampurna - Sampurna Vakra,Bilawal,Shadj - Pancham,S m P - S' D m G;,G m P D S' N D; D P m; m P G R G S;,True,False,True,False,True,True,False,True,False,True,False,True,tanarang_Raw_Data.csv,7,0.0316,6.823,0.1267
Maru Bihag,https://tanarang.com/wordpress/raag-maru-bihag/,2nd Prahar of the Night (9PM to 12AM),S G M P N S'; - S' N D P M G M G R S;,,Rishabh and Dhaivat Varjya in Aaroh. Madhyam Teevra (with rare use of Madhyam Shuddha). Rest all Shuddha Swaras.,Audhav - Sampurna,Kalyan,Pancham - Shadj,G P N - S' D P G R;,"M G ; M G R S ; S ,N S ; m G P ; M G M G R S ;",True,False,True,False,True,False,True,True,False,True,False,True,tanarang_Raw_Data.csv,7,0.8546,5.675,0.426
Marwa,https://tanarang.com/wordpress/raag-marwa/,4th Prahar of the Day (3PM to 6PM),"S ,D ,N r G M D N S'; - S' N D M G r S ; ,N ,D S ,N r S ;",,"Pancham Varjya. Rishabh Komal, Madhyam Teevra. Rest all Shuddha Swaras.",Shadhav - Shadhav,Marwa,Rishabh - Dhaivat,r; D; - D; r;,"S ; ,N ,D S ,N r ; r G M D ; D M G r ; ,N ,D r S ;",True,True,False,False,True,False,True,False,False,True,False,True,tanarang_Raw_Data.csv,6,1.0,4.0,1.0
