Raag Name,URL,Time,Aaroh,Avroh,S,r,R,g,G,m,M,P,d,D,n,N
Prabhavati,https://raagtime.com/ragas/prabhavati,'06-09,S - r - G - P - d - N - S',S' - N - d - P - G - r - S,True,True,False,False,True,False,False,True,True,False,False,True
Puriya,https://raagtime.com/ragas/puriya,'15-18,'N - r - G - M - D - N - r' - S',"r' - N - D - M - G, M - G - r - S",True,True,False,False,True,False,True,False,False,True,False,True
Pushp,https://raagtime.com/ragas/pushp,'21-24,S - R - g - m - g - P - D - S',"S' - D - P, g - m - g, R - S",True,False,True,True,False,True,False,True,False,True,False,False
Rageshree,https://raagtime.com/ragas/rageshree,'21-24,'n - S - G - m - D - n - S',S' - n - D - m - G - R - S,True,False,True,False,True,True,False,False,False,True,True,False
Rajeshwari,https://raagtime.com/ragas/rajeshwari,'18-21,S - g - m - D - N - S',S' - N - D - m - g - S,True,False,False,True,False,True,False,False,False,True,False,True
Rakta Hauns,https://raagtime.com/ragas/rakta-hauns,'09-12,S - R - m - P - D - S',S' - n - P - m - R - S,True,False,True,False,False,True,False,True,False,True,True,False
Ramkali,https://raagtime.com/ragas/ramkali,'06-09,"S - r - G - m - P, G - m - d - N - S'","S' - N - d - P - M - P, d - (N)d - P, G - m - r - S",True,True,False,False,True,True,True,True,True,False,False,True
"Ranjani, Dev",https://raagtime.com/ragas/ranjani-dev,'06-09,"S - m, m - P - (n)d - (n)d - S'","S' - (n)d - (n)d - P - d - m, m - S",True,False,False,False,False,True,False,True,True,False,True,False
"Ranjani, Gou",https://raagtime.com/ragas/ranjani-gou,'21-24,N - S - G - M - P - N - S',S' - N - d - P - M - G - r - S,True,True,False,False,True,False,True,True,True,False,False,True
"Ranjani, Jan",https://raagtime.com/ragas/ranjani-jan,'21-24,"S, R - G - m - P, N - S'","S' - D - P - m, R - G - m, P - m - R - S",True,False,True,False,True,True,False,True,False,True,False,True
"Ranjani, Kaam",https://raagtime.com/ragas/ranjani-kaam,'09-12,S - r - g - r - M - P - d - N - S',S' - N - d - M - g - r - g - S,True,True,False,True,False,False,True,True,True,False,False,True
"Ranjani, Kamal",https://raagtime.com/ragas/ranjani-kamal,'06-09,S - G - P - D - N - S',S' - N - D - n - P - m - G - S,True,False,False,False,True,True,False,True,False,True,True,True
"Ranjani, Kusum",https://raagtime.com/ragas/ranjani-kusum,'21-24,S - r - M - P - d - N - S',S' - N - d - N - P - M - G - r - S,True,True,False,False,True,False,True,True,True,False,False,True
"Ranjani, Megh",https://raagtime.com/ragas/ranjani-megh,'03-06,"'N - r - G, m, N - S'","r' - S', N - m, G, m - r - G - r - S",True,True,False,False,True,True,False,False,False,False,False,True
"Ranjani, Pushp",https://raagtime.com/ragas/ranjani-pushp,'24-03,"S - r, G - m, M - P - N - S'",S' - N - P - m - M - m - r - S,True,True,False,False,True,True,True,True,False,False,False,True
"Ranjani, Raag",https://raagtime.com/ragas/ranjani-raag,'21-24,S - G - m - D - n - D - S',"R' - S - n - D - P, m - G, m - g - R - 'N - S",True,False,True,True,True,True,False,True,False,True,True,True
"Ranjani, Ras",https://raagtime.com/ragas/ranjani-ras,'24-03,S - R - m - D - N - S',"S', N, D, m, D - m - R - S",True,False,True,False,False,True,False,False,False,True,False,True
"Ranjani, Saraswat",https://raagtime.com/ragas/ranjani-saraswat,'21-24,"'N - S, g - M - P - N - S'","S' - n, D - P, M - g, R - S'",True,False,True,True,False,False,True,True,False,True,True,True
"Ranjani, Shree",https://raagtime.com/ragas/ranjani-shree,'24-03,S - g - m - D - n - S',S' - n - D - m - g - R - S,True,False,True,True,False,True,False,False,False,True,True,False
"Ranjani, Yash",https://raagtime.com/ragas/ranjani-yash,'24-03,S - r - M - P - d - S',S' - D - P - M - r - S,True,True,False,False,False,False,True,True,True,True,False,False
Ras Chandra,https://raagtime.com/ragas/ras-chandra,'06-09,"S - R - S, G - m - M, M - D - M - S'","R' - S', D - M - m, G - m - R - S",True,False,True,False,True,True,True,False,False,True,False,False
Ratnadeep,https://raagtime.com/ragas/ratnadeep,'18-21,S - G - M - P - N - S',S' - D - P - M - G - r - S,True,True,False,False,True,False,True,True,False,True,False,True
Ravikosh,https://raagtime.com/ragas/ravikosh,'21-24,S - G - m - D - n - S',S' - n - D - m - R - g - R - S,True,False,True,True,True,True,False,False,False,True,True,False
Reva,https://raagtime.com/ragas/reva,'18-21,"S - r - G, P - d - P - S'",S' - d - P - G - r - S,True,True,False,False,True,False,False,True,True,False,False,False
Revati,https://raagtime.com/ragas/revati,'06-09,"S, R - m - P, D - m - P, S'","S' - D - n - P, m - P, m - g - m - R - S",True,False,True,True,False,True,False,True,False,True,True,False
Rupeshwari,https://raagtime.com/ragas/rupeshwari,'21-24,S - G - m - D - n - S',S' - n - D - m - G - S,True,False,False,False,True,True,False,False,False,True,True,False
Saajgiri,https://raagtime.com/ragas/saajgiri,'18-21,"N - r - G, M - G, M - P - d - P, m - N - D - S'","S' - N - r' - N - d - P, P - D - G, M - D - G, M - G - r - S",True,True,False,False,True,True,True,True,True,True,False,True
"Sakh, Bhav",https://raagtime.com/ragas/sakh-bhav,'06-09,"S, m - m, D - P - D, S', N - R' - S'","S' - N - D - N - D - P, G - R, 'N - R - S",True,False,True,False,True,True,False,True,False,True,False,True
"Sakh, Dev",https://raagtime.com/ragas/sakh-dev,'09-12,S - m -  R -  (P)m - N - P - S',S' - n - P - m - P - (m)g - m - R - S,True,False,True,True,False,True,False,True,False,False,True,True
"Sakh, Lachchha",https://raagtime.com/ragas/sakh-lachchha,'06-09,"S - G - R - G - P - m, P - (N)D - N - S'","S' - D - n - P - m, G - P - m - G - R - S",True,False,True,False,True,True,False,True,False,True,True,True
Sameri,https://raagtime.com/ragas/sameri,'09-12,S - R - m - P - n - S',S' - n - d - P - m - g - R - S,True,False,True,True,False,True,False,True,True,False,True,False
"Sarang, Badhans",https://raagtime.com/ragas/sarang-badhans,'12-15,"S - R - m, R - m - P, N - S'","S - n - P - m - (D)P - m - R, R - 'N - S",True,False,True,False,False,True,False,True,False,True,True,True
"Sarang, Gaud",https://raagtime.com/ragas/sarang-gaud,'12-15,S - G - R - m - G - P - M - D - P - N - D - S',"S' - D - N - P - D - M - P - G, m - R - P - R - S",True,False,True,False,True,True,True,True,False,True,False,True
"Sarang, Lankadahan",https://raagtime.com/ragas/sarang-lankadahan,'12-15,"S - R - m - P, n - P, N - S'","S' - D - n - P, m - P - (m)g - (m)g - m - R - S",True,False,True,True,False,True,False,True,False,True,True,True
"Sarang, Madhmaad",https://raagtime.com/ragas/sarang-madhmaad,'09-12,S - R - m - P - n - S',"S' - n - P - m - R - m - R, 'n - S",True,False,True,False,False,True,False,True,False,False,True,False
"Sarang, Miyan Ki",https://raagtime.com/ragas/sarang-miyan-ki,'09-12,"'D - 'N - S, R, P - D - N - S'","S', n - D, S, n - P, m - R - S",True,False,True,False,False,True,False,True,False,True,True,True
"Sarang, Poorvi",https://raagtime.com/ragas/sarang-poorvi,'18-21,"S - r, G - M - P - d - N - S'",S' - N - d - P - M - P - M - G - r - G - S,True,True,False,False,True,False,True,True,True,False,False,True
"Sarang, Samant",https://raagtime.com/ragas/sarang-samant,'12-15,S - R - m - P - N - S',"S' - n - D - P - m - R, m - R - 'N - S",True,False,True,False,False,True,False,True,False,True,True,True
"Sarang, Shuddha",https://raagtime.com/ragas/sarang-shuddha,'12-15,S - R - M - P - N - S',"S' - N - D - P - M - P - (m)R, m - R - N - S",True,False,True,False,False,True,True,True,False,True,False,True
"Sarang, Vrindavani",https://raagtime.com/ragas/sarang-vrindavani,'12-15,S - R - m - P - N - S',S - n - P - m - R - m - R - S - 'N - S,True,False,True,False,False,True,False,True,False,False,True,True
Saraswati,https://raagtime.com/ragas/saraswati,'18-21,S - R - M - P - D - P - S',"S' - n - D - P, M - P -(P)R - S",True,False,True,False,False,False,True,True,False,True,True,False
"Saravali, Naag",https://raagtime.com/ragas/saravali-naag,'21-24,"S - G, m - P, D - S'","S' - D - P - m, P - G, m - G - S",True,False,False,False,True,True,False,True,False,True,False,False
Saveri,https://raagtime.com/ragas/saveri,'06-09,"S - r - m - P, d - S'","S' - N - d - P, m - G - r - S",True,True,False,False,True,True,False,True,True,False,False,True
Sawan,https://raagtime.com/ragas/sawan,Monsoon,S - g - P - G - m - P - N - S',"S' - N - D - P - g, m - G - R, S",True,False,True,True,True,True,False,True,False,True,False,True
Shankara,https://raagtime.com/ragas/shankara,'21-24,S - G - P - N - D - S',"S' - N - (D)P, G - P - (R)G - (R)S",True,False,True,False,True,False,False,True,False,True,False,True
Shimendra Madhyam,https://raagtime.com/ragas/shimendra-madhyam,'18-21,S - R - g - M - P - d - N - S',S' - N - d - P - M - g - R - S,True,False,True,True,False,False,True,True,True,False,False,True
Shivranjani,https://raagtime.com/ragas/shivranjani,'21-24,S - R - g - P - D - S',S - D - P - g - R - S,True,False,True,True,False,False,False,True,False,True,False,False
Shobhavari,https://raagtime.com/ragas/shobhavari,'06-09,"S - (m)R - m - P - d - P, m - P - (n)d - (n)d - S'","S' - (n)d - P, d - m - P, (m)r - (m)r - S",True,True,True,False,False,True,False,True,True,False,True,False
Shree,https://raagtime.com/ragas/shree,'15-18,"S - r - P, M - P - D - P -  N - S' - r' - S'",S' - r' - N - d - P(M)P - r - G - r - S,True,True,False,False,True,False,True,True,True,True,False,True
"Shree, Hauns",https://raagtime.com/ragas/shree-hauns,'21-24,S - G - m - P - N - S',"S' - n, m - P, P - G - m - G, S",True,False,False,False,True,True,False,True,False,False,True,True
